Player Name,Team,Position,GP,PTS,AST,TRB,Salary_M,Points_per_Million,Value_Score,PER
Hamidou Diallo,DET,SF,56,9.3,1.0,3.5,5.2,1.7884615384615385,2.6538461538461537,15.7
Cory Joseph,DET,PG,62,6.9,3.5,1.7,5.1555,1.3383764911259821,2.3470080496557073,12.1
Garrett Temple,NOP,SG,25,2.0,0.5,0.7,5.1555,0.3879352148191252,0.6206963437106003,10.5
Torrey Craig,PHO,PF,79,7.4,1.5,5.4,5.121951,1.444761966680275,2.7919048815578282,11.6
Jeremy Sochan,SAS,PF,56,11.0,2.5,5.3,5.06352,2.172401807438304,3.712832179985465,11.4
Nickeil Alexander-Walker,MIN/UTA,SG,59,6.2,1.8,1.7,5.009633,1.2376156097662245,1.936269583021351,11.6
Furkan Korkmaz,PHI,SG,37,3.8,0.6,1.1,5.0,0.76,1.1,9.3
Deni Avdija,WAS,SF,76,9.2,2.8,6.4,4.91616,1.8713792878994988,3.7427585757989976,11.2
Davion Mitchell,SAC,PG,80,5.6,2.3,1.3,4.8336,1.1585567692816947,1.9033432638199272,9.4
Johnny Davis,WAS,SG,28,5.8,1.0,2.3,4.81032,1.2057409902043938,1.8917660363551696,7.2
Ty Jerome,GSW,SG,45,6.9,3.0,1.7,4.728948,1.4590983026246007,2.452976856586285,12.8
Jalen Smith,IND,C,68,9.4,1.0,5.8,4.67016,2.012779005430221,3.4688319029754866,15.9
Ziaire Williams,MEM,SF,37,5.7,0.9,2.1,4.59168,1.2413757056240853,1.8947313401630776,7.4
Ousmane Dieng,OKC,PF,39,4.9,1.2,2.7,4.56984,1.0722476060431,1.9256691700365878,9.3
Jeff Green,DEN,PF,56,7.8,1.2,2.6,4.5,1.7333333333333334,2.5777777777777775,11.0
Donte DiVincenzo,GSW,SG,72,9.4,3.5,4.5,4.5,2.088888888888889,3.8666666666666663,12.8
Devin Vassell,SAS,SG,38,18.5,3.6,3.9,4.437,4.169483885508226,5.859815190443993,15.5
Matisse Thybulle,PHI/POR,SF-SG,71,4.1,0.7,2.0,4.379526,0.936174371381743,1.5526794452185007,10.5
Jarred Vanderbilt,LAL/UTA,PF,78,7.9,2.4,7.5,4.374,1.8061271147690903,4.069501600365799,15.1
James Bouknight,CHO,SG,34,5.6,1.2,2.1,4.36224,1.283744131455399,2.040236208920188,6.2
Brandon Clarke,MEM,PF,56,10.0,1.3,5.5,4.343919,2.302068708003073,3.8674754294451628,20.0
Jalen Williams,OKC,SG,75,14.1,3.3,4.5,4.34148,3.2477404018905998,5.044362751872633,15.6
Grant Williams,BOS,PF,79,8.1,1.7,4.6,4.306281,1.8809733967662583,3.3439527053622364,10.3
Darius Bazley,OKC/PHO,C,43,5.2,0.9,3.2,4.264628,1.219332612363845,2.1807294798045693,13.1
Tyrese Haliburton,IND,PG,56,20.7,10.4,3.7,4.21512,4.910892216591699,8.255992711951263,23.6
Nassir Little,POR,SF,54,6.6,0.9,2.6,4.171548,1.5821464837513557,2.421163558467984,10.2
Jalen Duren,DET,C,67,9.1,1.1,8.9,4.12428,2.2064457311336767,4.631111369742113,17.3
Gorgui Dieng,SAS,C,31,3.9,1.7,3.5,4.105236,0.9500062846569601,2.21668133086624,9.9
Justise Winslow,POR,PF,29,6.8,3.4,5.0,4.097561,1.6595237996456917,3.709523787443311,9.3
Stanley Johnson,SAS,SF,30,5.8,2.2,3.2,4.022164,1.4420098235676118,2.784570693785733,13.5
George Hill,MIL/IND,PG-SG,46,5.0,2.4,1.8,4.0,1.25,2.3000000000000003,10.6
Terence Davis,SAC,SG,64,6.7,1.0,2.2,4.0,1.675,2.475,12.9
Chris Duarte,IND,SF,46,7.9,1.4,2.5,3.93696,2.006624400552711,2.9972364463951884,8.6
Alex Len,SAC,C,26,1.7,0.5,2.3,3.9186,0.4338284081049354,1.148369315571888,12.8
Ochai Agbaji,UTA,SG,59,7.9,1.1,2.1,3.91836,2.0161496136138592,2.832817811533397,9.5
Jordan Poole,GSW,PG,82,20.4,4.5,2.7,3.901399,5.228893532807077,7.074385367915458,14.6
Keldon Johnson,SAS,SF,63,22.0,2.9,5.0,3.873024,5.680315949500958,7.720065767730848,15.3
Aaron Nesmith,IND,SF,73,10.1,1.3,3.8,3.80436,2.6548486473414714,3.995415786098056,10.5
Moses Moody,GSW,SG,63,4.8,0.8,1.7,3.74016,1.2833675564681724,1.9517881587953456,10.3
Mark Williams,CHO,C,43,9.0,0.4,7.1,3.72204,2.4180288229035694,4.433052841989877,19.8
Cole Anthony,ORL,PG,60,13.0,3.9,4.8,3.61368,3.59744083593456,6.004958933829227,16.0
Corey Kispert,WAS,SF,74,11.1,1.2,2.8,3.55284,3.124261154456716,4.250121029936613,11.5
AJ Griffin,ATL,SF,72,8.9,1.0,2.1,3.53616,2.5168544409755214,3.3935116058096915,12.6
Mike Muscala,BOS/OKC,C,63,6.1,0.8,3.2,3.5,1.7428571428571427,2.8857142857142857,13.0
Georges Niang,PHI,PF,78,8.2,1.0,2.4,3.465,2.3665223665223665,3.347763347763348,10.9
Isaiah Stewart,DET,C,50,11.3,1.4,8.1,3.43332,3.2912749175724954,6.058275954469726,13.1
Chuma Okeke,ORL,SF,27,4.7,1.4,3.6,3.43332,1.3689373550965247,2.825253690305593,9.1
Amir Coffey,LAC,SF,50,3.4,1.1,1.1,3.395062,1.0014544653381883,1.6494544134981923,7.0
Tari Eason,HOU,PF,82,9.3,1.1,6.0,3.35916,2.7685492801771874,4.882172924183426,15.2
Aleksej Pokusevski,OKC,PF,34,8.1,1.9,4.7,3.26148,2.483535082232606,4.507156260348062,13.4
Simone Fontecchio,UTA,SF,52,6.3,0.8,1.7,3.205128,1.965600125798408,2.7456001757184105,8.0
Andre Drummond,CHI,C,67,6.0,0.5,6.6,3.2,1.875,4.09375,20.8
Dalen Terry,CHI,SG,38,2.2,0.6,1.0,3.1914,0.6893526352071192,1.1907000062668422,14.1
Josh Green,DAL,SG,60,9.1,1.7,3.0,3.0984,2.9369997418022207,4.453911696359412,11.2
Jake LaRavia,MEM,PF,35,3.0,0.6,1.8,3.04764,0.9843682324684018,1.7718628184431233,6.7
Tre Mann,OKC,PG,67,7.7,1.8,2.3,3.0462,2.5277394786947673,3.8736786816361373,10.0
Kevin Knox,DET/POR,SF-PF,63,6.6,0.5,2.8,3.0,2.1999999999999997,3.2999999999999994,11.1
Saddiq Bey,DET/ATL,SF,77,13.8,1.5,4.7,2.95908,4.663611663084472,6.758857482731119,14.6
Malaki Branham,SAS,SG,66,10.2,1.9,2.7,2.9256,3.4864643150123045,5.058791359037462,9.5
Kai Jones,CHO,C,46,3.4,0.3,2.7,2.90904,1.168770453482936,2.2000385006737617,10.8
Blake Griffin,BOS,C,41,4.1,1.5,3.8,2.905851,1.4109463974580938,3.2348527161234344,13.1
Robin Lopez,CLE,C,37,3.0,0.5,1.4,2.905851,1.0323998030181176,1.6862530115962588,11.6
Markieff Morris,BRK/DAL,PF,35,3.8,0.9,2.0,2.905851,1.3077064171562822,2.3056928934071292,10.4
Wesley Matthews,MIL,SF,52,3.4,0.7,2.2,2.905851,1.1700531100871998,2.168039586338047,7.0
Austin Rivers,MIN,SG,52,4.9,1.4,1.6,2.905851,1.6862530115962588,2.7186528146143765,7.4
Bismack Biyombo,PHO,C,61,4.3,0.9,4.3,2.905851,1.479773050992635,3.2692660428907057,14.4
Taj Gibson,WAS,C,49,3.4,0.7,1.9,2.905851,1.1700531100871998,2.0647996060362352,11.4
Precious Achiuwa,TOR,C,55,9.2,0.9,6.0,2.84016,3.2392541265280825,5.668694721424146,15.2
Christian Braun,DEN,SG,76,4.7,0.8,2.4,2.8086,1.673431602933846,2.8127892900377414,10.3
Jordan Nwora,MIL/IND,SF,62,8.7,1.4,3.7,2.8,3.107142857142857,4.928571428571429,12.2
Jalen Johnson,ATL,SF,70,5.6,1.2,4.0,2.79264,2.0052709980520222,3.8673083533860435,14.1
Tyrese Maxey,PHI,SG,60,20.3,3.5,2.9,2.72688,7.444405327700522,9.791409963034678,17.0
Bruno Fernando,HOU/ATL,C,39,3.9,0.8,3.5,2.717391,1.4352001607424179,3.0176003379712375,16.6
Walker Kessler,UTA,C,74,9.2,0.9,8.4,2.6964,3.41195668298472,6.860999851654057,21.5
Keon Johnson,POR,SG,40,4.7,1.5,1.1,2.68104,1.7530510548145497,2.7228239787545134,9.0
Charles Bassey,SAS,C,35,5.7,1.3,5.5,2.674742,2.1310466579580387,4.673347934118505,18.8
Matthew Dellavedova,SAC,PG,32,1.5,1.3,0.4,2.628597,0.5706466225138354,1.2173794613628486,6.7
Trey Lyles,SAC,PF,74,7.6,0.9,4.1,2.625,2.895238095238095,4.8,14.2
Zeke Nnaji,DEN,PF,53,5.2,0.3,2.6,2.6178,1.986400794560318,3.0942012376804953,12.5
David Roddy,MEM,PF,70,6.7,0.8,2.8,2.58864,2.588231658322517,3.9789232956301386,8.8
Isaiah Jackson,IND,C,63,7.2,0.8,4.5,2.57376,2.7974636329727716,4.856707696133284,17.5
MarJon Beauchamp,MIL,SF,52,5.1,0.7,2.2,2.4852,2.0521487204249156,3.2190568163528086,8.2
Usman Garuba,HOU,C,75,3.0,0.9,4.1,2.47116,1.214004758898655,3.2373460237297467,12.9
Raul Neto,CLE,PG,48,3.3,1.6,1.0,2.46349,1.3395629777267208,2.39497623290535,12.6
Frank Kaminsky,HOU/ATL,C,36,2.5,0.9,1.4,2.46349,1.0148204376717582,1.948455240329776,15.3
Montrezl Harrell,PHI,C,57,5.6,0.6,2.8,2.46349,2.2731977803847383,3.65335357561833,17.6
Blake Wesley,SAS,SG,37,5.0,2.7,2.2,2.38548,2.0960142193604643,4.1501081543337195,3.5
Josh Christopher,HOU,SG,64,5.8,1.1,1.1,2.37216,2.4450290031026576,3.372453797382976,11.5
Isaiah Roby,SAS,PF,42,4.1,0.9,2.5,2.330681,1.7591424995527059,3.2179435967427548,9.3
Lindy Waters III,OKC,SG,41,5.2,0.7,1.8,2.316876,2.2444015130719124,3.323440702048793,11.8
Immanuel Quickley,NYK,SG,81,14.9,3.4,4.2,2.31624,6.432839429420095,9.714019272614237,16.3
John Konchar,MEM,SF,72,5.1,1.4,4.3,2.3,2.217391304347826,4.695652173913044,10.8
Rodney McGruder,DET,SG,32,5.7,0.9,2.3,2.298385,2.4800022624582043,3.8722842343645647,10.7
Bryn Forbes,MIN,SG,25,3.6,0.7,0.6,2.298385,1.5663172183946554,2.131931769481614,6.2
Damian Jones,LAL/UTA,C,41,3.5,0.4,3.0,2.298385,1.5228084067725816,3.0021080019230895,12.9
Quentin Grimes,NYK,SG,71,11.3,2.1,3.2,2.277,4.962670180061484,7.290294246815986,11.7
Saben Lee,PHI/PHO,PG,25,6.0,2.7,1.8,2.26664,2.647089965764303,4.63240744008753,13.1
Andrew Nembhard,IND,SG,75,9.5,4.5,2.7,2.244111,4.233302185141466,7.441699630722365,10.0
Payton Pritchard,BOS,PG,48,5.6,1.3,1.8,2.2392,2.500893176134334,3.885316184351554,10.3
Bones Hyland,DEN/LAC,PG,56,11.8,3.1,2.4,2.20152,5.359933137105274,7.858207056942477,14.9
Bol Bol,ORL,PF,70,9.1,1.0,5.8,2.2,4.136363636363636,7.227272727272726,14.4
Peyton Watson,DEN,SG,23,3.3,0.5,1.6,2.19396,1.50412951922551,2.4613028496417435,12.8
Udoka Azubuike,UTA,C,36,3.5,0.3,3.3,2.17488,1.6092841903921136,3.2645479290811448,16.1
Jaden McDaniels,MIN,SF,79,12.1,1.9,3.9,2.16144,5.59811977200385,8.281516026352802,12.0
Jordan McLaughlin,MIN,PG,43,3.7,3.4,1.4,2.16,1.712962962962963,3.935185185185185,11.8
Malachi Flynn,TOR,PG,53,4.6,1.3,1.4,2.14572,2.14380254646459,3.402121432432936,8.7
Cam Thomas,BRK,SG,57,10.6,1.4,1.7,2.13816,4.957533580274628,6.407378306581359,14.7
Luke Kornet,BOS,C,69,3.8,0.8,2.9,2.133278,1.781296202370249,3.5157161888886495,16.7
Damion Lee,PHO,SG,74,8.2,1.3,3.0,2.133278,3.84384969985159,5.859526981481083,10.7
Juan Toscano-Anderson,LAL/UTA,SF,52,3.0,1.3,2.4,2.133278,1.4062864755554598,3.14070646207386,7.2
Desmond Bane,MEM,SG,58,21.5,4.4,5.0,2.13024,10.09275950127685,14.505407841369985,19.1
Day'Ron Sharpe,BRK,C,48,4.7,0.8,4.2,2.10948,2.228037241405465,4.598289625879363,17.8
Frank Ntilikina,DAL,SG,47,2.9,1.2,1.3,2.036318,1.4241390588306932,2.6518451440295667,5.2
Garrison Mathews,HOU/ATL,SG,54,4.8,0.5,1.4,2.0,2.4,3.3499999999999996,9.7
Jaylin Williams,OKC,C,49,5.9,1.6,4.9,2.0,2.95,6.2,11.2
Jeremiah Robinson-Earl,OKC,PF,43,6.8,1.0,4.2,2.0,3.4,6.0,13.0
Kenrich Williams,OKC,PF,53,8.0,2.0,4.9,2.0,4.0,7.45,14.4
Caleb Houstan,ORL,SF,51,3.8,0.6,1.9,2.0,1.9,3.1499999999999995,6.2
Shake Milton,PHI,SG,76,8.4,3.2,2.5,1.997718,4.204797674146201,7.0580532387454085,12.7
Aaron Holiday,ATL,PG,63,3.9,1.4,1.2,1.968175,1.981531113849124,3.302551856415207,9.4
Yuta Watanabe,BRK,SF,58,5.6,0.8,2.4,1.968175,2.8452754455269473,4.471147128685203,12.1
Edmond Sumner,BRK,SG,53,7.1,1.3,1.5,1.968175,3.6074027970073796,5.0300405197708535,14.0
Theo Pinson,DAL,SG,40,2.4,1.2,1.6,1.968175,1.2194037623686917,2.6420414851321654,10.1
Thomas Bryant,DEN/LAL,C,59,9.8,0.5,5.7,1.968175,4.979232029672159,8.129358415791279,19.7
Josh Okogie,PHO,SG,72,7.3,1.5,3.5,1.968175,3.709019777204771,6.249444282139546,13.3
Drew Eubanks,POR,C,78,6.6,1.3,5.4,1.968175,3.3533603465139024,6.7575291831265005,16.2
Dean Wade,CLE,PF,44,4.7,0.8,3.4,1.930681,2.434374192318669,4.609772406731096,8.5
Terance Mann,LAC,SG,81,8.8,2.3,3.4,1.930681,4.557977211149848,7.510303359281,13.4
Jaylen Nowell,MIN,SG,65,10.8,2.0,2.6,1.930681,5.593881122774814,7.976460119512234,13.7
Naz Reid,MIN,C,68,11.5,1.1,4.9,1.930681,5.9564474918435515,9.064159226718447,18.5
Jalen McDaniels,PHI/CHO,SF,80,9.4,1.6,4.3,1.930681,4.868748384637338,7.924664923930986,11.8
Daniel Gafford,WAS,C,78,9.0,1.1,5.6,1.930681,4.661567602312345,8.131845706255978,19.7
Chimezie Metu,SAC,PF,66,4.9,0.6,3.0,1.91086,2.564290424206902,4.448258899134421,17.3
Davon Reed,DEN/LAL,SG,43,2.1,0.5,1.4,1.902133,1.104023745973599,2.1029023732830456,6.2
KZ Okpala,SAC,PF,35,1.3,0.4,1.0,1.902133,0.6834432713169899,1.419459101966056,6.2
Wenyen Gabriel,LAL,C,68,5.5,0.5,4.2,1.87872,2.9275251234883326,5.429228410832907,14.4
Thanasis Antetokounmpo,MIL,PF,37,1.4,0.4,1.2,1.87872,0.7451882132515755,1.5968318855390904,6.7
Moritz Wagner,ORL,C,57,10.5,1.5,4.5,1.87872,5.588911599386817,8.782575370464997,17.4
Keita Bates-Diop,SAS,PF,67,9.7,1.5,3.7,1.87872,5.163089763243059,7.930931698177482,14.9
Oshae Brissett,IND,PF,65,6.1,0.7,3.4,1.846738,3.303121503970785,5.523252350901968,10.6
Nathan Knight,MIN,C,38,3.7,0.3,1.5,1.83609,2.015151762713157,2.9954958634925304,14.5
Justin Jackson,BOS,SF,23,0.9,0.4,0.7,1.83609,0.4901720503896868,1.089271223088193,6.3
Isaiah Joe,OKC,SG,73,9.5,1.2,2.4,1.83609,5.174038309668916,7.1347265112276625,14.5
Ryan Arcidiacono,NYK/POR,PG,20,1.3,1.2,0.8,1.83609,0.7080262950073254,1.7972975180955182,2.7
Anthony Gill,WAS,PF,59,3.3,0.6,1.7,1.83609,1.7972975180955182,3.0499594246469397,11.1
Javonte Green,CHI,SF,32,5.2,0.7,2.8,1.815677,2.8639455145381034,4.791601149323365,14.5
Gabe Vincent,MIA,PG,68,9.4,2.5,2.1,1.815677,5.177132276280418,7.710622539141048,9.0
Max Strus,MIA,SF,80,11.5,2.1,3.2,1.815677,6.333725657151575,9.252747046969258,10.8
Nick Richards,CHO,C,65,8.2,0.6,6.4,1.782621,4.599968248999646,8.526770412779832,18.3
Lamar Stevens,CLE,SF,62,5.3,0.5,3.3,1.782621,2.973150209719284,5.104842812914242,9.5
Naji Marshall,NOP,SF,77,9.1,2.5,3.6,1.782621,5.104842812914242,8.526770412779832,11.4
Paul Reed,PHI,C,69,4.2,0.4,3.8,1.782621,2.356081298268112,4.712162596536224,19.2
Tre Jones,SAS,PG,68,12.9,6.6,3.6,1.782621,7.236535416109201,12.958447140474616,16.0
Haywood Highsmith,MIA,PF,54,4.4,0.8,3.5,1.752638,2.5105013128780733,4.963945777736189,8.5
Terry Taylor,CHI/IND,PF,31,2.9,0.3,1.5,1.703902,1.7019758178580693,2.7583746013561807,11.0
Jericho Sims,NYK,C,52,3.4,0.5,4.7,1.639842,2.0733704832538744,5.24440769293627,13.8
Sam Hauser,BOS,SF,80,6.4,0.9,2.6,1.637966,3.90728501079998,6.044081501081219,12.7
Kessler Edwards,BRK/SAC,SF,36,2.8,0.6,1.7,1.637966,1.7094371922249911,3.113617742981234,8.4
Vit Krejci,ATL,PG,29,1.2,0.6,0.9,1.563518,0.7674999584270856,1.7268749064609423,7.7
JT Thor,CHO,PF,69,3.8,0.5,2.2,1.563518,2.4304165350191043,4.157291441480047,7.0
Ayo Dosunmu,CHI,SG,80,8.6,2.6,2.8,1.563518,5.500416368727446,8.954166181649333,10.2
Isaiah Livers,DET,PF,52,6.7,0.8,2.8,1.563518,4.285208101217894,6.587707976499152,8.4
Daishen Nix,HOU,PG,57,4.0,2.3,1.7,1.563518,2.558333194756952,5.116666389513904,5.3
Austin Reaves,LAL,SG,64,13.0,3.4,3.0,1.563518,8.314582882960094,12.407915994571216,14.9
Jose Alvarado,NOP,PG,61,9.0,3.0,2.3,1.563518,5.756249688203142,9.146041171256105,11.8
Miles McBride,NYK,PG,64,3.5,1.1,0.8,1.563518,2.238541545412333,3.4537498129218847,8.4
Aaron Wiggins,OKC,SG,70,6.8,1.1,3.0,1.563518,4.349166431086818,6.971457955712695,12.2
Jock Landale,PHO,C,69,6.6,1.0,4.1,1.563518,4.221249771348971,7.483124594664084,16.4
Trendon Watford,POR,PF,62,7.4,2.1,3.8,1.563518,4.732916410300361,8.506457872566866,13.6
Dalano Banton,TOR,PG,31,4.6,1.2,1.5,1.563518,2.9420831739704947,4.6689580804314375,14.9
Christian Koloko,TOR,C,58,3.1,0.5,2.9,1.5,2.066666666666667,4.333333333333333,11.4
Bryce McGowens,CHO,SG,46,5.3,1.2,2.0,1.461055,3.6275157334939476,5.8177139122072745,7.2
Jordan Goodwin,WAS,PG,62,6.6,2.7,3.3,1.280206,5.155420299545542,9.842166026405128,14.8
Kennedy Chandler,MEM,PG,36,2.2,1.6,1.1,1.2,1.8333333333333335,4.083333333333334,10.6
Noah Vonleh,BOS,C,23,1.1,0.3,2.1,1.160955,0.9474958116378328,3.0147594006658314,5.9
Sandro Mamukelashvili,SAS/MIL,C,43,6.1,1.4,4.3,1.116112,5.465401321731152,10.572415671545508,13.4
Jaden Hardy,DAL,SG,48,8.8,1.4,1.9,1.017781,8.646260836073772,11.888608649601437,14.6
Max Christie,LAL,SG,41,3.1,0.5,1.8,1.017781,3.045841885435079,5.305660058499815,7.4
Jabari Walker,POR,SF,56,3.9,0.6,2.3,1.017781,3.8318655978054217,6.681201555147914,9.6
Eugene Omoruyi,DET/OKC,SF,40,7.0,0.7,2.8,1.013119,6.9093561565818025,10.364034234872705,10.9
Kris Dunn,UTA,PG,22,13.2,5.6,4.5,1.000001,13.1999868000132,23.2999767000233,19.1
Admiral Schofield,ORL,PF,37,4.2,0.8,1.7,0.87794,4.783926008611067,7.631501013736702,10.1
Moses Brown,BRK/LAC,C,36,4.3,0.1,3.9,0.824041,5.218186959144023,10.072314362998927,22.2
Matt Ryan,LAL/MIN,SF,34,3.6,0.5,0.8,0.806097,4.4659637735905235,6.078672914053768,8.1
Anthony Lamb,GSW,SF,62,6.7,1.5,3.5,0.694878,9.641980318847338,16.83748801947968,10.9
Trent Forrest,ATL,SG,23,2.3,1.7,1.6,0.508891,4.51963190545716,11.004321161113086,6.1
Mamadi Diakite,CLE,C,22,2.6,0.4,1.4,0.508891,5.109149110516791,8.64625234087457,9.0
Luka Garza,MIN,C,28,6.5,0.6,2.3,0.508891,12.772872776291976,18.471539091868394,23.0
Kevon Harris,ORL,SG,34,4.1,0.5,2.1,0.508891,8.056735135814938,13.165884246331728,9.2
Dominick Barlow,SAS,PF,28,3.9,0.9,3.6,0.508891,7.663723665775186,16.50648174166963,12.4
Jeff Dowtin,TOR,PG,25,2.4,1.2,0.9,0.508891,4.716137640477037,8.842758075894444,9.9
Orlando Robinson,MIA,C,31,3.7,0.8,4.1,0.386055,9.584126614083486,22.276618616518373,13.4
